"","Group.1","score","facility_a","facility_c","facility_i","facility_n","pe_descrip","coords.x1","coords.x2"
"15046","FA0257316",97.2857142857143,"400 W 8TH ST","LOS ANGELES","FA0257316","SHAKE SHACK","RESTAURANT (31-60) SEATS HIGH RISK",-118.25579,34.044466
"15047","FA0014994",95.875,"22330 SHERMAN WAY STE C1","CANOGA PARK","FA0014994","GINGER THAI CUISINE","RESTAURANT (31-60) SEATS HIGH RISK",-118.613746,34.201006
"15048","FA0159552",92.5,"376 N LEMON AVE","WALNUT","FA0159552","BOBA V CAFE","RESTAURANT (0-30) SEATS MODERATE RISK",-117.865748,34.020107
"15049","FA0059741",95.1428571428571,"11690 W SAN VICENTE BLVD","LOS ANGELES","FA0059741","CHIPOTLE MEXICAN GRILL","RESTAURANT (31-60) SEATS HIGH RISK",-118.464998,34.053647
"15050","FA0222536",91.5,"552 E CARSON ST # 103","CARSON","FA0222536","HICCUPS","RESTAURANT (31-60) SEATS HIGH RISK",-118.26642,33.8316
"15051","FA0041660",97,"6400 TAMPA AVE","RESEDA","FA0041660","YOGURTLAND","RESTAURANT (0-30) SEATS MODERATE RISK",-118.553493,34.186945
"15052","FA0046775",90.5714285714286,"19657 1/2 VENTURA BLVD","TARZANA","FA0046775","ROLL ROLL","RESTAURANT (0-30) SEATS HIGH RISK",-118.56183,34.172633
"15053","FA0008899",93.2,"21327 HAWTHORNE BLVD","TORRANCE","FA0008899","BENIHANA","RESTAURANT (151 + ) SEATS HIGH RISK",-118.353319,33.835116
"15054","FA0021288",86.2857142857143,"6455 WOODMAN AVE","VAN NUYS","FA0021288","EL RANCHERITO RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.43125,34.188004
"15055","FA0044257",94.4,"509 S ALVARADO ST","LOS ANGELES","FA0044257","PIZZA MAN #48","RESTAURANT (0-30) SEATS MODERATE RISK",-118.274347,34.060333
"15056","FA0060251",93.25,"4823 N PARAMOUNT BLVD","LAKEWOOD","FA0060251","COOPER'S HOUSE BREW","RESTAURANT (61-150) SEATS HIGH RISK",-118.159947,33.846058
"15057","FA0175616",93.375,"15355 SHERMAN WAY","VAN NUYS","FA0175616","KINNARA THAI","RESTAURANT (61-150) SEATS HIGH RISK",-118.467876,34.201251
"15058","FA0058244",93.875,"602 W GLENOAKS BLVD","GLENDALE","FA0058244","BEST SHAWARMA","RESTAURANT (0-30) SEATS HIGH RISK",-118.267086,34.159574
"15059","FA0049922",96.4,"1356 N AVALON BLVD","WILMINGTON","FA0049922","SUBWAY #43423","RESTAURANT (0-30) SEATS MODERATE RISK",-118.263266,33.790554
"15060","FA0137902",97.3333333333333,"20373 VALLEY BLVD #A","WALNUT","FA0137902","STARBUCKS COFFEE #17655","RESTAURANT (31-60) SEATS LOW RISK",-117.859266,34.009529
"15061","FA0057701",94.2,"5056 EAGLE ROCK BLVD","LOS ANGELES","FA0057701","ARMON'S RESTAURANT","RESTAURANT (31-60) SEATS HIGH RISK",-118.214127,34.13866
"15062","FA0250747",94,"865 S FIGUEROA ST","LOS ANGELES","FA0250747","DOLCINI CAFFE ESPRESSO","RESTAURANT (0-30) SEATS MODERATE RISK",-118.262375,34.046654
